dt,LandAverageTemperature
1900/01,-1.461
1900/02,3.0980000000000003
1900/03,5.492000000000001
1900/04,8.222999999999999
1900/05,11.385
1900/06,13.293
1900/07,14.171
1900/08,13.816
1900/09,11.955
1900/10,9.666
1900/11,5.803999999999999
1900/12,3.655
1901/01,2.1910000000000003
1901/02,3.092
1901/03,5.671
1901/04,8.522
1901/05,11.178
1901/06,13.423
1901/07,14.339
1901/08,13.789
1901/09,11.984000000000002
1901/10,9.003
1901/11,5.976
1901/12,3.335
1902/01,2.684
1902/02,3.606
1902/03,4.883
1902/04,7.955999999999999
1902/05,10.893
1902/06,13.214
1902/07,14.231
1902/08,13.599
1902/09,11.799
1902/10,8.801
1902/11,5.274
1902/12,2.713
1903/01,2.514
1903/02,3.555
1903/03,4.93
1903/04,7.831999999999999
1903/05,10.794
1903/06,12.886
1903/07,13.992
1903/08,13.412
1903/09,11.501
1903/10,8.812000000000001
1903/11,5.516
1903/12,2.898
1904/01,1.6369999999999998
1904/02,2.297
1904/03,4.506
1904/04,7.683999999999998
1904/05,10.84
1904/06,13.014
1904/07,13.836
1904/08,13.459
1904/09,11.380999999999998
1904/10,8.833
1904/11,6.23
1904/12,3.374
1905/01,2.254
1905/02,1.927
1905/03,4.635
1905/04,7.754999999999999
1905/05,10.982
1905/06,13.112
1905/07,14.077
1905/08,13.578
1905/09,11.803999999999998
1905/10,9.041
1905/11,6.183
1905/12,3.354
1906/01,2.068
1906/02,2.301
1906/03,4.8660000000000005
